created_at,id,full_text,in_reply_to_screen_name,metadata_iso_language_code,metadata_result_type,user_id,user_id_str,user_name,user_screen_name,user_location,user_description,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_contributors_enabled,user_is_translator,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,user_following,user_follow_request_sent,user_notifications,user_translator_type,sentiment,sentiment_value,emotion,emotion_value
Mon May 15 18:21:47 +0000 2023,1658175862045302797,"KitchenAid Mixer Sale on @SamsClub | $90 Off Professional 5-Quart Plus Bowl-Lift Stand Mixer

https://t.co/Sdi5COBx7Q #sponsored",,en,recent,20445389,20445389,Hip2Save,Hip2Save,"Boise, Idaho","http://t.co/osSTNQ9DVi is a nationally recognized frugal living blog. Our mission is to inspire others to save w/ coupons, online bargains, and in-store deals.",0,31203,724,611,Mon Feb 09 16:19:49 +0000 2009,2222,0,0,251069,0,0,0,0,1,1,0,0,0,0,0,none,Positive,0.9,Joy,1.0
Mon May 15 17:04:13 +0000 2023,1658156342199332864,"Happy National Chocolate Chip Day! No denying that these tiny morsels of goodness bring so much joy and happiness to our taste buds! Indulge today and savor every moment! 

@Samsclub #CelebrateEverydayByKellieShai #NationalChocolateChipDay #SamsClubChocolateChipCookiePlatters https://t.co/GQr4MBKnXl",,en,recent,1629261957860556800,1629261957860556800,Celebrate EveryDay by Kellie Shāi,KellieShai_,"Chicago, IL ","CELEBRATE EVERYDAY BY KELLIE SHAI LLC is a Lifestyle brand featuring food, wine, travel, home, beauty, and wellness topics.",0,0,1,0,Fri Feb 24 23:28:36 +0000 2023,0,0,0,6,0,0,0,0,1,1,1,0,0,0,0,none,Positive,1.0,Joy,1.0
Mon May 15 16:54:52 +0000 2023,1658153988703809536,This is heartbreaking that less than a year im reaching out to @SamsClub to ask what should I do and they pointing the finger at you guys. Can someone please help me!!! https://t.co/JvoESYj5cv,Roja1670,en,recent,1620973692812496896,1620973692812496896,La Sombra Negra,Roja1670,,,0,2,19,0,Thu Feb 02 02:33:50 +0000 2023,0,0,0,11,0,0,0,0,1,1,1,0,0,0,0,none,Negative,-1.0,Sadness,0.4
Mon May 15 16:54:24 +0000 2023,1658153870575521793,"@VIZIOsupport I bought a vizio tv from @SamsClub in August last year, I've only maybe watched this TV a total of 8 hours and I know this because my wife always ask me why I bought this TV if I don't watch it. I turned it on to watch a YouTube video and the TV is actively dying t",VIZIOsupport,en,recent,1620973692812496896,1620973692812496896,La Sombra Negra,Roja1670,,,0,2,19,0,Thu Feb 02 02:33:50 +0000 2023,0,0,0,11,0,0,0,0,1,1,1,0,0,0,0,none,Negative,-0.8,Sadness,0.4
Mon May 15 15:04:49 +0000 2023,1658126293597134850,Duo win with @SamsClub_Sam immmm backkkkk https://t.co/e6wL93l8pP,,en,recent,1149108562981019648,1149108562981019648,STUPIDATM,stupidatm,,"Heya! Welcome to my bio! I'm Chris! Love video games & football! Chill vibes, geeking out & being stupid w/friends! Let's get stoopid together! ❤️@samsclub_sam",0,983,988,1,Thu Jul 11 00:10:05 +0000 2019,48862,1,0,36719,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.9,Joy,1.0
Mon May 15 14:56:52 +0000 2023,1658124293602000900,@Michael61257752 @KevinHart4real @SamsClub @Chase @DraftKings @fabletics_men @OldSpice @myharthouse @AudemarsPiguet @c4energy @SIRIUSXM @netflix @peacock Yes is true,Michael61257752,en,recent,1658110194096783360,1658110194096783360,Florence Johnson,florencej925,USA 🇺🇸 ,I man Florence 32 years old ...single and ready to mingle 🥰😆😆😆,0,1,9,0,Mon May 15 14:01:37 +0000 2023,36,0,0,1,0,0,0,0,1,1,1,0,0,0,0,none,Neutral,0.0,Neutral,0.6
Mon May 15 14:23:49 +0000 2023,1658115975869345796,"@SamsClub @Walmart 
Images of @SamsClubMexico in the city of #Culiacan they don’t look 👀 any good. Very bad image of branding. https://t.co/Nm09a2F4IV",SamsClub,en,recent,1493646391,1493646391,Mariano Gomez,mgomeza2,,"Empresario del sector de Alimentos, Consejero orgulloso Coparmex. Ex candidato a Gobernador por el Estado de Sinaloa.",0,667,475,7,Sat Jun 08 18:41:56 +0000 2013,1934,1,0,2791,0,0,0,0,1,1,1,0,0,0,0,none,Negative,-1.0,Disgust,0.0
Mon May 15 14:02:40 +0000 2023,1658110653641506824,"Show your style with ArtSkills Ultimate Jewelry Making Kit! Enjoy endless hours of fun creating unique jewelry pieces using a variety of beads and cute charms. Available now on https://t.co/Bx9HbPzZme.

Link purchase: https://t.co/ntJP7TFulw

#FunWithArtSkills #SamsClub https://t.co/Z2rt7jKmlG",,en,recent,51212088,51212088,ArtSkills,ArtSkills,"Bethlehem, PA","Bridging the gap between #art and #fun for everyone since 1987!😎
Share your creations with us using #FunWithArtSkills #ArtSkills",0,1619,1850,30,Fri Jun 26 20:29:01 +0000 2009,650,0,0,2775,0,0,0,1,1,0,0,0,0,0,0,none,Positive,1.0,Joy,1.0
Mon May 15 13:16:40 +0000 2023,1658099076045365248,First game on win with @SamsClub_Sam she had 6 kills and I had 9 kills😏 https://t.co/Dqrixmdjna,,en,recent,1149108562981019648,1149108562981019648,STUPIDATM,stupidatm,,"Heya! Welcome to my bio! I'm Chris! Love video games & football! Chill vibes, geeking out & being stupid w/friends! Let's get stoopid together! ❤️@samsclub_sam",0,983,988,1,Thu Jul 11 00:10:05 +0000 2019,48862,1,0,36719,0,0,0,0,1,1,1,0,0,0,0,none,Positive,0.9,Joy,1.0
Mon May 15 12:35:21 +0000 2023,1658088677522788356,Rakuten has this amazing deal right now. You can get Up to 8% Cash Back at Sam's Club when you shop with Rakuten today. Use my invite link to join and get a $30 bonus when you spend $30 at any store.* You can thank me later! https://t.co/AJiXTRIYau,,en,recent,163503598,163503598,T. J.C.,Poochnhouse, Tn.,I'M here to bore you with my daily adventures. I have Alpha-1 (google it). Follow me I follow back. American Conservative NO DM'S.,0,2363,2276,0,Tue Jul 06 15:50:28 +0000 2010,4558,0,0,3995,0,0,0,0,1,1,0,0,0,0,0,none,Positive,0.8,Joy,1.0
