created_at,id,full_text,in_reply_to_screen_name,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries
Mon May 15 18:21:47 +0000 2023,1658175862045302797,"KitchenAid Mixer Sale on @SamsClub | $90 Off Professional 5-Quart Plus Bowl-Lift Stand Mixer

https://t.co/Sdi5COBx7Q #sponsored",,en,recent,20445389,20445389,Hip2Save,Hip2Save,"Boise, Idaho","http://t.co/osSTNQ9DVi is a nationally recognized frugal living blog. Our mission is to inspire others to save w/ coupons, online bargains, and in-store deals.",https://t.co/IYPvzpIlxs,"[{'url': 'https://t.co/IYPvzpIlxs', 'expanded_url': 'https://hip2save.com', 'display_url': 'hip2save.com', 'indices': [0, 23]}]","[{'url': 'http://t.co/osSTNQ9DVi', 'expanded_url': 'http://Hip2Save.com', 'display_url': 'Hip2Save.com', 'indices': [0, 22]}]",False,31203,724,611,Mon Feb 09 16:19:49 +0000 2009,2222,,,False,False,251069,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/851676600647131136/1yS1_zjF_normal.jpg,https://pbs.twimg.com/profile_images/851676600647131136/1yS1_zjF_normal.jpg,https://pbs.twimg.com/profile_banners/20445389/1578573156,004961,FFFFFF,F6F6F6,333333,True,True,False,False,False,False,False,none,[]
Mon May 15 17:29:18 +0000 2023,1658162654479888397,@KellieShai_ All we need is some milk. 🍪,KellieShai_,en,recent,86089860,86089860,Sam’s Club,SamsClub,"Bentonville, Arkansas","We are a membership wholesale club, offering superior products and services at outstanding values to our members. Tweet @SamsClub.",https://t.co/aQyh1Kcaax,"[{'url': 'https://t.co/aQyh1Kcaax', 'expanded_url': 'http://www.samsclub.com', 'display_url': 'samsclub.com', 'indices': [0, 23]}]",[],False,146015,6,947,Thu Oct 29 15:16:41 +0000 2009,1548,,,True,False,98204,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1459948503740948481/yZCJCYS9_normal.jpg,https://pbs.twimg.com/profile_images/1459948503740948481/yZCJCYS9_normal.jpg,https://pbs.twimg.com/profile_banners/86089860/1683663647,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,[]
Mon May 15 17:04:13 +0000 2023,1658156342199332864,"Happy National Chocolate Chip Day! No denying that these tiny morsels of goodness bring so much joy and happiness to our taste buds! Indulge today and savor every moment! 

@Samsclub #CelebrateEverydayByKellieShai #NationalChocolateChipDay #SamsClubChocolateChipCookiePlatters https://t.co/GQr4MBKnXl",,en,recent,1629261957860556800,1629261957860556800,Celebrate EveryDay by Kellie Shāi,KellieShai_,"Chicago, IL ","CELEBRATE EVERYDAY BY KELLIE SHAI LLC is a Lifestyle brand featuring food, wine, travel, home, beauty, and wellness topics.",,,[],False,0,1,0,Fri Feb 24 23:28:36 +0000 2023,0,,,False,False,6,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1646602913991761920/TcNp6Cz9_normal.jpg,https://pbs.twimg.com/profile_images/1646602913991761920/TcNp6Cz9_normal.jpg,https://pbs.twimg.com/profile_banners/1629261957860556800/1677282268,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Mon May 15 16:54:52 +0000 2023,1658153988703809536,This is heartbreaking that less than a year im reaching out to @SamsClub to ask what should I do and they pointing the finger at you guys. Can someone please help me!!! https://t.co/JvoESYj5cv,Roja1670,en,recent,1620973692812496896,1620973692812496896,La Sombra Negra,Roja1670,,,,,[],False,2,19,0,Thu Feb 02 02:33:50 +0000 2023,0,,,False,False,11,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620973740031971328/cUuy-aOH_normal.png,https://pbs.twimg.com/profile_images/1620973740031971328/cUuy-aOH_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Mon May 15 16:54:24 +0000 2023,1658153870575521793,"@VIZIOsupport I bought a vizio tv from @SamsClub in August last year, I've only maybe watched this TV a total of 8 hours and I know this because my wife always ask me why I bought this TV if I don't watch it. I turned it on to watch a YouTube video and the TV is actively dying t",VIZIOsupport,en,recent,1620973692812496896,1620973692812496896,La Sombra Negra,Roja1670,,,,,[],False,2,19,0,Thu Feb 02 02:33:50 +0000 2023,0,,,False,False,11,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620973740031971328/cUuy-aOH_normal.png,https://pbs.twimg.com/profile_images/1620973740031971328/cUuy-aOH_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Mon May 15 16:44:38 +0000 2023,1658151412134715394,RT @stupidatm: Duo win with @SamsClub_Sam immmm backkkkk https://t.co/e6wL93l8pP,,en,recent,750064094200238080,750064094200238080,Samoontha,SamsClub_Sam,"Republic of Gilead, HELP ME!!!","Opinions are my own
Tweets are not investment advice
½ Canadian ½ American 100% idiot
I like fortnite...alot  
Love @stupidatm 🤙❤️",,,[],False,1018,1620,3,Mon Jul 04 20:29:50 +0000 2016,47425,,,False,False,22852,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1622095661314494465/1e_ENooq_normal.jpg,https://pbs.twimg.com/profile_images/1622095661314494465/1e_ENooq_normal.jpg,https://pbs.twimg.com/profile_banners/750064094200238080/1677170988,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,[]
Mon May 15 16:08:48 +0000 2023,1658142393802031115,@CaineCiara We got the deals. 😉,CaineCiara,en,recent,86089860,86089860,Sam’s Club,SamsClub,"Bentonville, Arkansas","We are a membership wholesale club, offering superior products and services at outstanding values to our members. Tweet @SamsClub.",https://t.co/aQyh1Kcaax,"[{'url': 'https://t.co/aQyh1Kcaax', 'expanded_url': 'http://www.samsclub.com', 'display_url': 'samsclub.com', 'indices': [0, 23]}]",[],False,146015,6,947,Thu Oct 29 15:16:41 +0000 2009,1548,,,True,False,98204,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1459948503740948481/yZCJCYS9_normal.jpg,https://pbs.twimg.com/profile_images/1459948503740948481/yZCJCYS9_normal.jpg,https://pbs.twimg.com/profile_banners/86089860/1683663647,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,[]
Mon May 15 15:04:49 +0000 2023,1658126293597134850,Duo win with @SamsClub_Sam immmm backkkkk https://t.co/e6wL93l8pP,,en,recent,1149108562981019648,1149108562981019648,STUPIDATM,stupidatm,,"Heya! Welcome to my bio! I'm Chris! Love video games & football! Chill vibes, geeking out & being stupid w/friends! Let's get stoopid together! ❤️@samsclub_sam",,,[],False,983,988,1,Thu Jul 11 00:10:05 +0000 2019,48862,,,True,False,36719,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1621779261060177921/RhV4vVG0_normal.jpg,https://pbs.twimg.com/profile_images/1621779261060177921/RhV4vVG0_normal.jpg,https://pbs.twimg.com/profile_banners/1149108562981019648/1672048928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Mon May 15 14:56:52 +0000 2023,1658124293602000900,@Michael61257752 @KevinHart4real @SamsClub @Chase @DraftKings @fabletics_men @OldSpice @myharthouse @AudemarsPiguet @c4energy @SIRIUSXM @netflix @peacock Yes is true,Michael61257752,en,recent,1658110194096783360,1658110194096783360,Florence Johnson,florencej925,USA 🇺🇸 ,I man Florence 32 years old ...single and ready to mingle 🥰😆😆😆,,,[],False,1,9,0,Mon May 15 14:01:37 +0000 2023,36,,,False,False,1,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1658123745658126336/rfvC4u2H_normal.jpg,https://pbs.twimg.com/profile_images/1658123745658126336/rfvC4u2H_normal.jpg,https://pbs.twimg.com/profile_banners/1658110194096783360/1684162487,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Mon May 15 14:23:49 +0000 2023,1658115975869345796,"@SamsClub @Walmart 
Images of @SamsClubMexico in the city of #Culiacan they don’t look 👀 any good. Very bad image of branding. https://t.co/Nm09a2F4IV",SamsClub,en,recent,1493646391,1493646391,Mariano Gomez,mgomeza2,,"Empresario del sector de Alimentos, Consejero orgulloso Coparmex. Ex candidato a Gobernador por el Estado de Sinaloa.",,,[],False,667,475,7,Sat Jun 08 18:41:56 +0000 2013,1934,,,True,False,2791,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000510084366/13b93d038bbff9f1b31b562ca9633709_normal.jpeg,https://pbs.twimg.com/profile_images/378800000510084366/13b93d038bbff9f1b31b562ca9633709_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
